name;price;change;per_market;market
Bitcoin USD;68,357.09;-1,279.68;-1.84;1347.0
Ethereum USD;3,837.10;-55.04;-1.41;46098.0
Tether USDt USD;0.998807;-0.000184;-0.02;111832.0
BNB USD;600.71;-4.17;-0.69;88656.0
Solana USD;168.92;-1.83;-1.07;77618.0
Lido Staked ETH USD;3,829.46;-64.72;-1.66;3614.0
USD Coin USD;0.999967;-0.000019;-0.0;32342.0
XRP USD;0.525671;-0.008706;-1.63;29138.0
Dogecoin USD;0.165548;-0.002867;-1.7;23918.0
Toncoin USD;6.4708;+0.1034;1.62;22485.0
Cardano USD;0.457414;-0.010492;-2.24;16328.0
Shiba Inu USD;0.000027;+0.000001;5.63;15948.0
Avalanche USD;37.04;-1.23;-3.21;14555.0
Lido wstETH USD;4,471.18;-76.06;-1.67;13946.0
WETH USD;3,830.32;-63.04;-1.62;12929.0
Chainlink USD;18.53;-0.27;-1.46;10878.0
Wrapped Bitcoin USD;68,285.23;-1,300.87;-1.87;10615.0
Polkadot USD;7.3837;-0.2726;-3.56;10617.0
TRON USD;0.111207;-0.001020;-0.91;9719.0
Wrapped TRON USD;0.111056;-0.000750;-0.67;9709.0
Bitcoin Cash USD;468.92;-21.33;-4.35;9243.0
NEAR Protocol USD;7.6868;-0.1292;-1.65;8303.0
Polygon USD;0.733801;-0.015480;-2.07;727.0
Pepe USD;0.000016;-0.000001;-4.15;6697.0
Uniswap USD;11.08;-0.10;-0.85;6635.0
Litecoin USD;83.08;-2.21;-2.59;6196.0
ether.fi Staked ETH USD;3,819.58;-50.43;-1.3;5794.0
Internet Computer USD;12.14;-0.20;-1.59;5635.0
UNUS SED LEO USD;5.9579;+0.1163;1.99;5519.0
Coinbase Wrapped Staked ETH USD;4,095.40;-67.01;-1.61;5508.0
Dai USD;0.999680;+0.000012;0.0;5346.0
Wrapped eETH USD;3,975.25;-81.66;-2.01;4917.0
Ethereum Classic USD;31.56;-0.39;-1.23;4649.0
Aptos USD;9.3769;-0.2871;-2.97;409.0
Renzo Restaked ETH USD;3,786.31;-58.14;-1.51;399.0
Bitcoin BEP2 USD;68,302.73;-1,279.02;-1.84;3906.0
Render USD;10.05;-0.10;-1.01;3906.0
Wrapped HBAR USD;0.105095;-0.004064;-3.72;3757.0
Hedera USD;0.104472;-0.002489;-2.33;3735.0
dogwifhat USD;3.6922;+0.3476;10.39;3688.0
Wrapped Beacon ETH USD;3,981.03;-68.57;-1.69;3569.0
Arbitrum USD;1.1994;-0.0368;-2.97;3474.0
Immutable USD;2.3051;-0.1165;-4.81;3417.0
Cosmos USD;8.7335;+0.0407;0.47;3414.0
Kaspa USD;0.139931;-0.001646;-1.16;3326.0
Mantle USD;1.0178;-0.0213;-2.05;3323.0
Filecoin USD;5.9344;-0.1924;-3.14;3304.0
Cronos USD;0.118263;-0.003355;-2.76;3142.0
Stellar USD;0.107911;-0.002683;-2.43;3127.0
The Graph USD;0.314575;-0.014564;-4.42;2991.0
First Digital USD USD;0.998373;-0.000082;-0.01;2989.0
Ethena USDe USD;1.0002;-0.0002;-0.02;2892.0
Stacks USD;1.9764;-0.1200;-5.72;2889.0
Bittensor USD;415.82;-21.77;-4.98;2846.0
OKB USD;47.09;-1.13;-2.35;2826.0
Optimism USD;2.5424;-0.0510;-1.97;2763.0
Bonk USD;0.000041;+0.000002;6.28;2755.0
FLOKI USD;0.000287;+0.000012;4.3;2747.0
Monero USD;141.78;-2.14;-1.49;2615.0
VeChain USD;0.035943;-0.000948;-2.57;2614.0
Maker USD;2,718.42;-54.19;-1.95;2522.0
Arweave USD;37.99;-2.53;-6.24;2487.0
Sui USD;1.0367;-0.0321;-3.0;2425.0
Injective USD;25.74;-0.20;-0.77;2404.0
Fantom USD;0.823844;-0.006916;-0.83;231.0
Theta Network USD;2.2812;-0.0858;-3.63;2281.0
THORChain USD;6.7248;-0.2239;-3.22;225.0
Rocket Pool ETH USD;4,303.04;-59.21;-1.36;2185.0
Celestia USD;11.27;+1.53;15.72;2109.0
Lido DAO USD;2.3510;-0.1541;-6.15;2098.0
Fetch.ai USD;2.2265;-0.0898;-3.88;1888.0
Core USD;2.1132;-0.0728;-3.33;1881.0
Mantle Staked Ether USD;3,935.15;-63.42;-1.59;1807.0
Bitget Token USD;1.2851;+0.0831;6.92;1799.0
Jito Staked SOL USD;187.69;-2.15;-1.13;1783.0
Ondo USD;1.2675;+0.0156;1.25;1762.0
Pyth Network USD;0.440521;-0.008305;-1.85;1597.0
Sei USD;0.544199;-0.029380;-5.12;1592.0
Algorand USD;0.194251;-0.001724;-0.88;1587.0
Jupiter USD;1.1604;-0.0170;-1.44;1567.0
Aave USD;105.66;-3.06;-2.82;1566.0
Zeebu USD;4.5522;-0.3097;-6.37;1501.0
Gala USD;0.045894;+0.000168;0.37;1437.0
Flow USD;0.939852;-0.026453;-2.74;1418.0
Starknet USD;1.2412;-0.0759;-5.76;1416.0
Beam USD;0.027994;-0.001468;-4.98;1385.0
Chiliz USD;0.152459;+0.016292;11.96;1355.0
Ethena USD;0.889498;-0.023467;-2.57;1352.0
JasmyCoin USD;0.025378;-0.001049;-3.97;1251.0
Akash Network USD;5.2228;-0.0824;-1.55;1245.0
Bitcoin SV USD;62.94;-0.70;-1.1;124.0
Venus BNB USD;14.61;-0.10;-0.67;1232.0
SingularityNET USD;0.930047;-0.035345;-3.66;1194.0
dYdX (Native) USD;2.0934;+0.0024;0.11;1169.0
Kelp DAO Restaked ETH USD;3,854.99;-97.02;-2.45;1163.0
BitTorrent(New) USD;0.00000119;-0.00000002;-1.81;1151.0
Flare USD;0.027735;-0.000298;-1.06;1132.0
Axie Infinity USD;7.7612;-0.1717;-2.16;1127.0
Quant USD;91.68;-1.67;-1.79;1107.0
